,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Customer_Age,Years_Since_Enrollment
0,Graduation,Divorced,84835.0,0,0,0,189,104,379,111,189,218,1,4,4,6,1,Accept,No,54,10
1,Graduation,Single,57091.0,0,0,0,464,5,64,7,0,37,1,7,3,7,5,Accept,No,63,10
2,Graduation,Married,67267.0,0,1,0,134,11,59,15,2,30,1,3,2,5,2,Refuse,No,66,10
3,Graduation,Married,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,Refuse,No,57,10
4,Graduation,Single,21474.0,1,0,0,6,16,24,11,0,34,2,3,1,2,7,Accept,No,35,10
5,PhD,Single,71691.0,0,0,0,336,130,411,240,32,43,1,4,7,5,2,Accept,No,66,10
6,2n Cycle,Married,63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,Accept,No,70,10
7,Graduation,Married,44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,Refuse,No,57,10
8,PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,Refuse,No,70,10
10,2n Cycle,Married,81044.0,0,0,0,450,26,535,73,98,26,1,5,6,10,1,Refuse,No,77,11
11,Master,Married,62499.0,1,0,0,140,4,61,0,13,4,2,3,1,6,4,Refuse,No,45,11
12,PhD,Widow,67786.0,0,0,0,431,82,441,80,20,102,1,3,6,6,1,Accept,No,65,11
13,Graduation,Married,26872.0,0,0,0,3,10,8,3,16,32,1,1,1,2,6,Refuse,No,43,11
14,Graduation,Married,4428.0,0,1,0,16,4,12,2,4,321,0,25,0,0,1,Refuse,No,55,11
15,Graduation,Married,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,Refuse,No,47,11
16,Graduation,Married,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,Accept,No,47,11
17,PhD,Divorced,32173.0,0,1,0,18,0,2,0,0,2,1,1,0,3,4,Refuse,No,66,11
18,2n Cycle,Single,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,Refuse,No,64,11
19,Master,Single,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,Refuse,No,66,11
20,Master,Married,36634.0,0,1,0,213,9,76,4,3,30,3,5,2,5,7,Refuse,No,70,11
